,wojewodztwo,powierzchnina,ludnosc,gestosc_zal,urbanizacja,stopa_bezrobocia,pdb_na_miesz,miasta,powiaty,m_powiaty,gminy_ogolem,miejskie,wiejskie,miejsko_wiejskie,zar,chor,zgo,wyl,date
0,dolnoslaskie,19947,2901225,14545,68.61,5.4,57228,91.0,26.0,4.0,169.0,35.0,78.0,56.0,2530,1388.0,102.0,1362.0,82.0
1,kujawsko-pomorskie,17972,2077775,11562,59.09,9.2,41875,52.0,19.0,4.0,144.0,17.0,92.0,35.0,595,365.0,46.0,459.0,72.0
2,lubelskie,25122,2117629,8429,46.46,8.4,35712,48.0,20.0,4.0,213.0,20.0,165.0,28.0,484,198.0,15.0,326.0,71.0
3,lubuskie,13988,1014548,7253,64.95,6.2,42755,43.0,12.0,2.0,82.0,9.0,39.0,34.0,113,59.0,0.0,87.0,75.0
4,lodzkie,18219,2466322,13537,62.55,6.3,48126,46.0,21.0,3.0,177.0,18.0,131.0,28.0,1458,693.0,63.0,998.0,77.0
5,malopolskie,15183,3400577,22398,48.19,4.9,47272,62.0,19.0,3.0,182.0,14.0,120.0,48.0,1190,667.0,40.0,827.0,78.0
6,mazowieckie,35558,5403412,15196,64.4,5.1,83123,89.0,37.0,5.0,314.0,35.0,225.0,54.0,3461,1638.0,257.0,1667.0,77.0
7,opolskie,9412,986506,10482,53.3,6.6,41080,36.0,11.0,1.0,71.0,3.0,35.0,33.0,624,336.0,46.0,319.0,78.0
8,podkarpackie,17846,2129015,11930,41.09,9.1,36088,51.0,21.0,4.0,160.0,16.0,109.0,35.0,380,195.0,35.0,327.0,53.0
9,podlaskie,20187,1181533,5853,60.79,8.1,37077,40.0,14.0,3.0,118.0,13.0,78.0,27.0,442,276.0,9.0,359.0,72.0
10,pomorskie,18321,2333523,12744,63.66,5.2,50001,42.0,16.0,4.0,123.0,22.0,81.0,20.0,548,299.0,33.0,390.0,75.0
11,slaskie,12333,4533565,36759,76.73,4.5,53654,71.0,17.0,19.0,167.0,49.0,96.0,22.0,7728,5912.0,201.0,1615.0,75.0
12,swietokrzyskie,11711,1241546,10602,44.86,8.7,36970,44.0,13.0,1.0,102.0,5.0,58.0,39.0,432,236.0,21.0,247.0,68.0
13,warminsko-mazurskie,24173,1428983,5911,58.99,10.9,36306,50.0,19.0,2.0,116.0,16.0,66.0,34.0,179,103.0,1.0,149.0,83.0
14,wielkopolskie,29826,3493969,11714,54.27,3.3,56496,113.0,31.0,4.0,226.0,19.0,113.0,94.0,2133,1109.0,149.0,1122.0,80.0
15,zachodniopomorskie,22897,1701030,7431,68.5,7.8,43150,66.0,18.0,3.0,113.0,11.0,47.0,55.0,527,262.0,19.0,395.0,77.0
